"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"214"	"NLA06608-0010"	"2"	8	2007	8	18	12.3	0.4	7.7	733	"M"
"215"	"NLA06608-0010"	"2"	9	2007	8	18	9.9	0.4	7.7	746	"M"
"216"	"NLA06608-0010"	"2"	10	2007	8	18	9.2	0.4	7.5	759	"M"
"217"	"NLA06608-0010"	"2"	10.5	2007	8	18	8.9	0.4	7.4	774	"H"
"218"	"NLA06608-0010"	"1"	0.1	2012	7	24	27.8	8.6	8.45	775.5	"E"
"219"	"NLA06608-0010"	"1"	1	2012	7	24	27.8	8.8	8.4	776	"E"
"220"	"NLA06608-0010"	"1"	2	2012	7	24	27.7	8.8	8.4	776	"E"
"221"	"NLA06608-0010"	"1"	3	2012	7	24	27.1	8.5	8.4	777	"E"
"222"	"NLA06608-0010"	"1"	4	2012	7	24	26.3	8.1	8.3	776	"E"
"223"	"NLA06608-0010"	"1"	5	2012	7	24	23.2	8.9	8	780	"M"
"224"	"NLA06608-0010"	"1"	6	2012	7	24	20.5	4.7	7.6	786	"M"
"225"	"NLA06608-0010"	"1"	7	2012	7	24	16.9	1.9	7.3	806	"M"
"226"	"NLA06608-0010"	"1"	8	2012	7	24	13.5	0.7	7.2	815	"M"
"227"	"NLA06608-0010"	"1"	9	2012	7	24	12.3	0.5	7.1	826	"M"
"228"	"NLA06608-0010"	"1"	10	2012	7	24	11.9	0.5	7.1	838	"H"
"229"	"NLA06608-0010"	"1"	10.2	2012	7	24	11.8	0.5	7.1	838	"H"
"230"	"NLA06608-0012"	"1"	0.1	2007	6	13	26.77	5.46	7.47	196.2	"E"
"231"	"NLA06608-0012"	"1"	1	2007	6	13	26.77	5.34	7.39	196.1	"E"
"232"	"NLA06608-0012"	"1"	2	2007	6	13	26.61	5.21	7.35	196.7	"E"
"233"	"NLA06608-0012"	"1"	3	2007	6	13	26.45	4.95	7.3	197	"E"
"234"	"NLA06608-0012"	"1"	3.5	2007	6	13	25.93	3.7	7.21	203.2	"E"
"235"	"NLA06608-0012"	"2"	0.1	2007	9	18	24.1	6.89	7.78	220.6	"E"
"236"	"NLA06608-0012"	"2"	1	2007	9	18	24.11	6.85	7.78	221.3	"E"
"237"	"NLA06608-0012"	"2"	2	2007	9	18	24.1	6.78	7.77	220.4	"E"
"238"	"NLA06608-0012"	"2"	3	2007	9	18	24.09	6.74	7.77	220.6	"E"
"239"	"NLA06608-0012"	"2"	3.2	2007	9	18	24.08	6.72	7.77	220.5	"E"
"240"	"NLA06608-0012"	"1"	0	2012	6	11	26.905	6.975	7.155	357	"E"
"241"	"NLA06608-0012"	"1"	0.5	2012	6	11	26.12	6.78	7.18	356	"E"
"242"	"NLA06608-0012"	"1"	1.09	2012	6	11	25.95	6.65	7.29	356	"E"
"243"	"NLA06608-0012"	"1"	2.02	2012	6	11	25.86	6.58	7.34	356	"E"
"244"	"NLA06608-0012"	"1"	2.54	2012	6	11	25.8	6.55	7.36	356	"E"
"245"	"NLA06608-0013"	"1"	0	2007	9	4	27.3	NA	5.9	51.5	"E"
"246"	"NLA06608-0013"	"1"	0.5	2007	9	4	26.5	NA	5.6	49.8	"M"
"247"	"NLA06608-0013"	"1"	1	2007	9	4	25	NA	5.1	43	"M"
"248"	"NLA06608-0013"	"1"	1.5	2007	9	4	23.9	NA	4.9	41.7	"M"
"249"	"NLA06608-0013"	"1"	1.8	2007	9	4	22.8	NA	4.8	41.3	"M"
"250"	"NLA06608-0013"	"2"	0	2007	9	14	22.6	NA	6.5	44.6	"H"
"251"	"NLA06608-0013"	"2"	0.5	2007	9	14	22.7	NA	5.9	44.5	"H"
"252"	"NLA06608-0013"	"2"	1	2007	9	14	22.7	NA	5.7	44.6	"H"
"253"	"NLA06608-0013"	"2"	1.5	2007	9	14	22.7	NA	5.5	44.6	"H"
"254"	"NLA06608-0013"	"2"	1.8	2007	9	14	22.6	NA	5.4	44.3	"H"
"255"	"NLA06608-0013"	"1"	0	2012	7	15	27.15	6.45	6.25	66	"E"
"256"	"NLA06608-0013"	"1"	1	2012	7	15	26.2	3.7	5.9	68	"E"
"257"	"NLA06608-0013"	"1"	2	2012	7	15	23.3	0.8	5.9	96	"E"
"258"	"NLA06608-0013"	"1"	3	2012	7	15	18.2	0.2	6.1	154	"E"
"259"	"NLA06608-0013"	"1"	3.1	2012	7	15	17.9	0.2	6.2	165	"E"
"260"	"NLA06608-0014"	"1"	0	2007	8	6	20.9	7.7	9.4	9080	"E"
"261"	"NLA06608-0014"	"1"	0.5	2007	8	6	21.7	7.7	9.4	9080	"E"
"262"	"NLA06608-0014"	"1"	1	2007	8	6	21.7	7.7	9.4	9080	"E"
"263"	"NLA06608-0014"	"1"	1.5	2007	8	6	21.8	7.7	9.4	9080	"E"
"264"	"NLA06608-0014"	"1"	1.7	2007	8	6	21.7	7.2	9.4	9080	"E"
"265"	"NLA06608-0014"	"2"	0	2007	8	23	18.1	8.4	9.4	9052	"E"
"266"	"NLA06608-0014"	"2"	0.5	2007	8	23	18.1	8.4	9.4	9053	"E"
"267"	"NLA06608-0014"	"2"	1	2007	8	23	18.1	8.4	9.4	9052	"E"
"268"	"NLA06608-0014"	"2"	1.5	2007	8	23	18.1	8.4	9.4	9054	"E"
"269"	"NLA06608-0014"	"2"	1.7	2007	8	23	18.1	8.4	9.4	9051	"E"
"270"	"NLA06608-0015"	"1"	0	2007	7	10	25.2	8.9	7.9	NA	"E"
"271"	"NLA06608-0015"	"1"	1	2007	7	10	23.6	7.1	7.9	NA	"E"
"272"	"NLA06608-0015"	"1"	2	2007	7	10	23.5	6.8	8	NA	"E"
"273"	"NLA06608-0015"	"1"	3	2007	7	10	23.5	6.9	8.1	NA	"E"
"274"	"NLA06608-0015"	"1"	4	2007	7	10	23.4	6.8	8.1	NA	"E"
"275"	"NLA06608-0015"	"1"	5	2007	7	10	23.2	6.5	8.1	NA	"E"
"276"	"NLA06608-0015"	"1"	6	2007	7	10	23.1	6.2	8	NA	"E"
"277"	"NLA06608-0015"	"1"	6.5	2007	7	10	23.1	6.1	8	NA	"E"
"278"	"NLA06608-0015"	"2"	0	2007	8	29	25.5	7.5	8.3	617	"E"
"279"	"NLA06608-0015"	"2"	1	2007	8	29	25.5	7.5	8.3	617	"E"
"280"	"NLA06608-0015"	"2"	2	2007	8	29	25.5	7.5	8.3	617	"E"
"281"	"NLA06608-0015"	"2"	3	2007	8	29	25.5	7.5	8.3	617	"E"
"282"	"NLA06608-0015"	"2"	4	2007	8	29	25.5	7.4	8.3	617	"E"
"283"	"NLA06608-0015"	"2"	5	2007	8	29	25.4	6.3	8.3	618	"E"
"284"	"NLA06608-0015"	"2"	5.5	2007	8	29	25.3	5.7	8	620	"E"
"285"	"NLA06608-0016"	"1"	0	2007	6	27	23.5	7.1	8.2	1100	"E"
"286"	"NLA06608-0016"	"1"	1	2007	6	27	23.5	7.1	8.3	1100	"E"
"287"	"NLA06608-0016"	"1"	2	2007	6	27	23.6	7.2	8.4	1100	"E"
"288"	"NLA06608-0016"	"1"	3	2007	6	27	23.6	7.2	8.3	1110	"E"
"289"	"NLA06608-0016"	"1"	4	2007	6	27	23.6	7.4	8.3	1110	"E"
"290"	"NLA06608-0016"	"1"	5	2007	6	27	23.6	6.8	8.3	1110	"E"
"291"	"NLA06608-0016"	"1"	6	2007	6	27	23.6	6.8	8	1110	"E"
"292"	"NLA06608-0016"	"1"	6.2	2007	6	27	23.6	6.8	8.1	1090	"E"
